Tupi,Tradução,Citação
...Kori é t'oromondóne.,Hoje mesmo hei de te fazer ir.,"Anch., Teatro, 32"
Opá xe ramyîa ma'epûera aîtyk.,Todos os bens de meus avós joguei fora.,"Léry, Histoire, 356"
T'a'u kori i îybapûera...,Hei de comer hoje seus braços (arrancados).,"Anch., Teatro, 64"
"...Xe reté ã n'oîkoetéî, omembeka...","Eis que meu corpo não está disposto, amolecendo.","Ar., Cat., 53"
Xe kûar ymûan.,Eu já estou desvirginada.,"VLB, I, 83"
...Asé 'anga ereîosub.,Nossa alma visitas.,"Anch., Poemas, 102"
I îukasarama oîmoîa'ok o îoupé.,Seus matadores repartiram-nas uns com os outros.,"Ar., Cat., 62"
Emonã serekopyra rakó abá obasẽ-porang...,"Assim tratada, uma pessoa certamente chega bem.","Ar., Cat., 85v"
morapitîara...,trucidador,"Anch., Poemas, 90"
Kó oka sosé.,Maior que esta casa.,"VLB, II, 28"
I nhyrõ nhẽpemo Îandé Îara i xupé “nde nhyrõ ixébe” o îoupé i 'erememo?,Perdoar-lhe-ia Nosso Senhor se ele lhe dissesse “-perdoa tu a mim”?,"Ar., Cat., 58"
Aîké gûitupa.,Entrei para estar fundeado.,"VLB, I, 18"
Opá kó mbó îabi'õ... moîepé me'enga Tupã potabamo.,A cada dez dar um como quinhão de Deus.,"Ar., Cat., 78"
tapi'irokaîa,curral de vacas,"VLB, I, 88"
ygara rakypûera,esteira da canoa,"VLB, I, 128"
Aîmimby.,Faço-a soar.,"VLB, II, 124"
Aroby-katupe ká i porangepîá-katûabo.,Hei de me aproximar muito dela para ver bem sua beleza.,"Anch., Poemas, 110"
"Nandé rakó asé îeupiri ybakypene, o posyîusu reîtyk'iré.","Assim, desta maneira, na verdade, a gente subirá para o céu, após lançar fora seu grande peso.","Ar., Cat., 169v"
Asendybá-apin.,Rapei-lhe a barba.,"VLB, I, 52"
...O akanetá-beraba ro'yrypy'aka sosé morotingyba'e reroína.,Estando com seus cocares brilhantes que são mais brancos que a geada.,"Ar., Cat., 168v"
Îori sekyîa taûîé i py suí...,Vem para arrancá-lo logo do interior dela.,"Anch., Poemas, 136"
"Nde reburusu riré, Tupã syramo ereîkóne.","Após seres grande, serás mãe de Deus.","Anch., Poemas, 146"
"...Oroapek, oroesyne...","Sapecar-te-ei, assar-te-ei...","Anch., Teatro, 162"
Marã-marã-pakó îeí xe rekóû?...,"Que coisas, pois, hoje eu fiz?","Ar., Cat., 74v"
Mba'easybora o îoesendûara supé abaré... renõîe'yma.,Não chamando o padre para o doente que está consigo.,"Ar., Cat., 76"
Ereîporakápe taba rerekoara nhe'enga koîpó nde mbo'esara...?,Obedeceste às palavras do governante da aldeia ou a teu mestre?,"Ar., Cat., 101"
Aîerekoaíbeté xe angaîpá-katu suí.,Piorei muito de meu grande pecado.,"VLB, I, 112"
Kûarasy nipó oberá putunusu kûab'iré.,O sol certamente brilha após passar a grande noite.,"Anch., Poemas, 142"
N'asendube'ym-a'ubi. - Fiz que não o ouvi. N'asepîake'ym-a'ubi.,Fiz que não o vi.,"VLB, I, 104"
Eké xe porupi.,Dorme ao lado de mim.,"Anch., Arte, 43v"
"...Nde momburu, nde robá repîá-poûsupa.","Amaldiçoa-te, temendo ver tua face.","Anch., Poemas, 142"
I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé...,Sobre ela morrendo Nosso Senhor para nos resgatar.,"Ar., Cat., 21"
Marãîasûaramo xe sóû kûesé mã!,"Ah, que bom seria se eu tivesse ido ontem!","Anch., Arte, 24v"
Aîmoîobaîxûar.,Ponho-os um(s) diante do(s) outro(s).,"VLB, II, 57"
...Nde monhegûasẽ-motá.,Querem afugentar-te.,"Anch., Teatro, 136"
Marãpe erepûar xe resé?,Por que bates em mim?,"Ar., Cat., 56"
N'oîkotebẽî amõba'e...,Não se afligem os outros?,"Anch., Teatro, 160, 2006"
...omendá-potaryba'e...,os que querem casar-se,"Ar., Cat., 132"
Oré raûsubá îepé oré rekobé pukuî.,Tem tu compaixão de nós durante nossa vida.,"Anch., Teatro, 122"
I nhe'engetá tenhẽ nakamẽ abá ogûe'õ kakareme...,"Tem o homem, geralmente, muitas palavras em vão quando se aproxima de sua morte.","Ar., Cat., 156"
"Xe îar, na xe angaturami ã a'emo ereîké xe py'ape.","Meu senhor, eis que eu não sou digno para que entres em meu coração.","Ar., Cat., 86v"
Na xe tekokuabi.,Eu não sei (sou ignorante).,"VLB, II, 48"
kyba'yra,lêndeas de piolho (da cabeça),"VLB, II, 20"
Aporepŷan apŷaba.,Resgatei os índios.,"VLB, II, 102"
A'ekatu sepîaka.,Posso vê-lo.,"Anch., Arte, 56"
Xe moaîu-te i nema mã!,"Ah, mas como me importuna o fedor dele!","Anch., Teatro, 8"
"Nde rokangaturamûama oroîmoĩ, nde raûsupa, nde ra'angaba rerokupa.","Tua casa santa edificamos, amando-te, tua imagem fazendo estar conosco.","Anch., Poemas, 146"
-Ogûerekomemûãsara resé oîepyka tiruãpe abá Tupã nhe'enga abyû?,"Mesmo vingando-se dos que o maltratam, o homem transgride a palavra de Deus?","Ar., Cat., 70"
"Aîpó resé nhẽ, ko'y asaûsu...","Por causa disso, com efeito, agora o amo.","Anch., Poemas, 108"
Pero angaba,o bom do Pedro,"VLB, II, 53"
"Reîamo ereîkó tenhẽ, setá tenhẽ nde boîá, xe-te t'oroporaká...","Apesar de que sejas rainha, apesar de que sejam muitos os teus servos, eu, não obstante, pesco para ti.","Anch., Poemas, 152"
...O membyra Maria rerasóû... mosapyr ro'y sykeme.,Levou sua filha Maria quando se completaram três anos.,"Ar., Cat., 8v"
...Îaîu kûepe suí.,Viemos de longe.,"Anch., Poemas, 96"
Xe ropepirekó.,Eu tenho terçol.,"VLB, II, 127"
Ereîase'o îepi.,Choravas sempre.,"Anch., Poemas, 96"
Ké turi îandé nupãmo!,Aqui vêm para nos castigar!,"Anch., Teatro, 26"
T'i poraká apó abá.,Procuremos alimentos para aqueles homens.,"Léry, Histoire, 355"
Oîaby bépe abá aîpó Tupã nhe'enga o py'ape-katu o apixara supé Anhanga koîpó te'õ koîpó Îurupari rekyîa?,"Transgride também o homem aquela palavra de Deus invocando para seu próximo, bem em seu coração, o diabo ou a morte ou Jurupari?","Ar., Cat., 70v"
Mba'e resé mokoka anduba.,Sentir o toque nas coisas.,"Ar., Cat., 20"
...Te'õ rupîara nhẽ...,Adversária da morte,"Anch., Poemas, 88"
Mba'emeémo asó...,Se eu tivesse ido...,"Anch., Arte, 25v"
Xe retá.,Eu tenho muitos (parentes).,"VLB, I, 37"
Ipuku erimba'e îandé rubypy rekóû îase'o-monhanga...,Longamente nosso pai primeiro esteve chorando.,"Ar., Cat., 84"
"Ké turi, arupare'aka îurupara ndi seru.","Para cá vem, trazendo farpas junto com o arco.","Anch., Teatro, 132"
Aîmoîoakypûé-kypûer.,Faço-as umas atrás das outras (se são muitas).,"VLB, I, 154"
N'opyki nhemombegûara îandé pó suí sembiara.,Não deixam de ser presas de nossas mãos os que se confessam.,"Anch., Teatro, 158, 2006"
...I pysyrõû o syrama resé.,Escolheu-a para sua futura mãe.,"Ar., Cat., 133, 1686"
Xe îase'opyoú.,Eu estou rouco.,"VLB, I, 117"
...Mba'e resé o nhemoma'enduaragûera a'epe onhenosẽne...,Suas antigas lembranças das coisas aí se retirarão.,"Ar., Cat., 161v"
Marã e'ipe asé Tupã mombu-potá?,"Que diz a gente, querendo abrandar a Deus?","Anch., Dial. da Fé, 229"
...Moropotara nde resá moîo'arype?,O desejo sensual aumentou teus olhos?,"Anch., Doutr. Cristã, II, 95"
'abo'o-bo'o,"escabelar, desfazer o penteado de, desgrenhar o cabelo de, etc.","VLB, I, 122"
bebuî-nhõte,levemente,"VLB, II, 21"
Ne'ĩ sekyîa ko'yté!,"Eia, puxa-o enfim!","VLB, II, 58"
...O emirekó moporabykŷabo.,Fazendo sua esposa trabalhar.,"Ar., Cat., 68"
marangatu-eté,largamente,"VLB, II, 18"
Eresekyîpe îuraragûaîa abá supé... i motĩamo... nhe'engabamo serekó-uká...?,"Urdiste mentiras contra alguém, envergonhando-o, fazendo-o ser tratado como mentiroso?","Anch., Doutr. Cristã, II, 103"
Eîori xe 'anga reîa...,Vem para lavar minha alma.,"Anch., Poemas, 170"
Kó abá semirekó abé opá o mba'e mombabi...,Esse homem e sua esposa também fizeram acabar todas as suas riquezas...,"Ar., Cat., 7"
Pene'ĩ pesóbo.,Sus! Ide!,"Anch., Arte, 56v"
Anambi-kutuk.,Furo orelhas.,"Anch., Arte, 50"
...Opá o boîá nde pópe i mongûapa...,Todos os seus discípulos para tuas mãos fazendo passar.,"Anch., Poemas, 124"
Sakã resé i îepokoki.,Ela embarrou nos seus ramos.,"VLB, I, 111"
"Erepokokype nde rapopé resé i pekábo,... i pypirá?","Passaste a mão nas tuas pudendas, abrindo-as, alargando-as?","Anch., Doutr. Cristã, II, 95"
"Xe îekyîme, t'ereîu...","Ao morrer eu, que venhas.","Anch., Poemas, 102"
...Abá 'angûera amõ soe'ymi ybakype erimba'e?,Não ia para o céu outrora a alma de ninguém?,"Anch., Doutr. Cristã, I, 163"
Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé... yapenunga ryapugûasuramo...,"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume, as ondas fazendo grande estrondo.","Ar., Cat., 159v-160"
"Ma'ẽne, tupinambá Paragûasupendarûera ...opakatu îamombá.","Olha, arrasamos todos os tupinambás que estavam no Paraguaçu.","Anch., Teatro, 14"
-Mba'e-mba'epe asé suí i pitubypyra? -Asé rumby. - Que é ungido de nós?,Nossas ancas.,"Ar., Cat., 92"
Miaûsuba îabépe serekóûne?,Trata-la-á como uma escrava?,"Anch., Doutr. Cristã, I, 228"
pyrangaíb,tirante a vermelho,"VLB, II, 128"
...Aîmoangaîpá pá benhẽne.,Farei todos pecarem de novo.,"Anch., Teatro, 136"
"Peîori, perasó muru, supi... i pokeka...","Vinde, levai os malditos, erguendo-os, embrulhando-os.","Anch., Teatro, 90"
Pa'i Îesu,Senhor Jesus,"Anch., Teatro, 42"
Aty-ypy-a'ang.,Eu meço a profundidade do rio.,"VLB, II, 63"
...A'e xe rekotebẽsaba oîme'eng ixébene...,Ele dará para mim minha aflição.,"Ar., Cat., 25v"
Te'yîpe memẽ nhẽ ixé aporombo'e.,Eu sempre ensinei as pessoas publicamente.,"Ar., Cat., 55v"
...ogûatápe oré rekyîa,para seu fogo arrastando-nos,"Anch., Poemas, 146"
i îubykypyra,o que é (ou deve ser) enforcado,"VLB, I, 116"
...Tuba i moingoaba se'õ a'e i aîarõ.,Parece bem que sua morte fosse a finalidade com que seu pai o fez viver.,"Ar., Cat., 4"
Xe mombuku umẽ îepé.,Não me faças demorar.,"VLB, I, 18"
Anhemoatypygûasu.,Inchei-me muito as bochechas.,"VLB, I, 56"
A'é sepîaka.,"Vejo-o. (Com ênfase. Lit., Acho-me vendo-o.)","Anch., Arte, 56"
N'oîmomarã-mirĩ-angáîpe ybakygûara Tupã remimotara?,Não desobedecem nem um pouco os que moram no céu à vontade de Deus?,"Ar., Cat., 27"
Xe agûasá gûitekóbo.,Eu estou-me amancebando.,"VLB, I, 33"
Xe rebykasy-pyrang.,Eu tenho diarréia com sangue.,"VLB, I, 64"
Omanõba'epûera suí sekobé-îebyri.,Voltou a viver dos que morreram.,"Anch., Doutr. Cristã, I, 141"
Nde manhanamo t'oîkóne!,Ele há de ser (ou há de estar na condição de) teu espião!,"Anch., Teatro, 32"
...Ereropûar ybyrá nde remirekó resé!,Bateste com um pau na tua esposa!,"Anch., Teatro, 168"
"Abá mongagûabo koîpó se'yma, i mondabeypó...","Fazendo as pessoas beberem cauim ou dando-lhes de beber, fazendo-as embriagar-se.","Ar., Cat., 78"
...Kunhã-kûare'yma ...gûeté-marane'yma bé ogûeromanõba'epûera...,Mulheres virgens que morreram com seu corpo incorrupto.,"Ar., Cat., 161v"
Nde resá-poraûsubara erobak ixé koty.,Teus olhos misericordiosos volta em minha direção.,"Anch., Poemas, 146"
Asenopu'am Pedro ybyrá pupé.,Ameacei Pedro com um pau.,"Anch., Arte, 49"
"Nde mba'epûerype, nde rapixarĩ nhe'engûera mombegûabo?","Tu fizeste mexericos, contando as palavras de teu próximo?","Anch., Doutr. Cristã, II, 99"
Ogûeîyb yby apyterype...,Desceu para o meio da terra.,"Anch., Doutr. Cristã, I, 141"
Karaíba na setáî...,Os cristãos não eram muitos.,"Anch., Teatro, 20"
Arekó-angaturã xe anama poreaûsuba.,Tratei bem das aflições de minha família.,"Anch., Teatro, 172"
"I porangeté kunumĩ, miaûsubambûerĩ mã!","Ah, é muito bonito o menino que poderia ser um escravozinho!","Anch., Poemas, 194"
...o supa îasy rureme,ao vir a lua para visitá-la,"Ar., Cat., 75v-76"
îandé poreaûsubokara,os que se compadecem de nós,"Léry, Histoire, 356"
akó-a'ynha,íngua de virilha,"VLB, II, 12"
"Xe ikó asaûsu pe 'anga... i moaysóbo, i momoranga...","Eis que eu amo vossas almas, aformoseando-as, embelezando-as.","Anch., Teatro, 186"
u'ubae'ẽ kambykaba,prensa de espremer cana-de-açúcar,"VLB, II, 85"
xe ri'yra,meu sobrinho,"Anch., Arte, 14"
Asasá-benhẽ.,"Atravessei-o, sem mais (sem entrar nem pousar). A'y-asab. - Atravessei rios.","VLB, II, 67"
Marã-pipó moranduba?,"Quais as novidades, por acaso?","Anch., Teatro, 22"
Nd'e'i te'e... mba'e amõ resé i moîekosupara... Tupã nhe'enga abŷabo...,"Por isso mesmo, o que os agrada em alguma coisa transgride a palavra de Deus.","Ar., Cat., 179"
irã é irã,"outro dia, já não agora","VLB, II, 61"
Xe resé-katu ahẽ rekóû.,"Fulano está muito atrás de mim (isto é, fica no meu encalço, a importunar-me).","VLB, II, 74"
"Enhemim, nde kyrirĩ.","Esconde-te, fica quieto.","Anch., Teatro, 32"
Abá 'anga mara'ara i pupé opûeîrá-katu...,As doenças da alma do homem com ele saram bem.,"Anch., Teatro, 38"
memby-kyra,"filho em gestação, feto","VLB, II, 126"
"Xe rybyt, nde nhyrõ xebo.","Meu irmão, perdoa tu a mim.","Anch., Teatro, 46"
"Erenhemosaînanype nde ra'yra, nde roka pora... nde rambyagûá missa iî ypyrungápe sendubagûama ri?","Tu te preocupaste com que teu filho, os que estão em tua casa, teus vizinhos ouvissem a missa desde o começo dela?","Anch., Doutr. Cristã, II, 105"
"Nde 'anga moapysykápe, oroîaîubã-îubã.","Para confortar a tua alma, nós o ficamos abraçando.","Anch., Poemas, 134"
T'irur ma'e tiruã anga pé.,Tragamos quaisquer coisas para esses.,"Léry, Histoire, 356"
...Asé 'anga rekorama oîmonhang asébe.,As leis de nossa alma fez para a gente.,"Anch., Doutr. Cristã, I, 224"
Anhe'angepîak.,"Vejo meu reflexo (p.ex., no espelho).","VLB, II, 144"
Amondarõ xe mena suí.,Sou traidora de meu marido.,"VLB, II, 29"
...Taba moapaîugûá-îugûábo Galilea suí-katu...,Confundindo as aldeias desde a Galiléia.,"Ar., Cat., 83, 1686"
Aîar itaîuba Pedro suí.,Aceitei dinheiro de Pedro.,"VLB, I, 19, adapt."
Xe mba'e.,Eu tenho bens.,"VLB, I, 54"
...T'oporepenhã oîkóbo...,Que estejam atacando gente.,"Anch., Teatro, 16"
apyteri,"no vértice, no ápice","Anch., Arte, 41"
Te'õ a'e mendasareté momboîsabamo.,A morte é a ameaça daqueles que se casam verdadeiramente.,"Ar., Cat., 94v"
Aîpokupé-petek.,Esbofeteio as costas de suas mãos.,"VLB, I, 73"
Mba'erama ri bépe asé santos 'ara kuabi?,Por que mais a gente reconhece o dia dos santos?,"Ar., Cat., 24"
Eîotĩ nde kesaba xe porupi.,Amarra tua rede de dormir ao longo de mim.,"Anch., Arte, 44"
asangusugûasu,muitíssimo rechonchudo,"VLB, II, 98"
so'o-kugûaba,"conhecedor de animais, bom de caça (fal. de cão)","VLB, I, 62"
Aĩngatu.,"Estou bem estabelecido (isto é, estou firmemente assentado).","VLB, I, 139"
kamusi rapŷaba,forno para potes,"VLB, I, 142"
Iîá mosapyr-y bé pekaî oîepegûasune.,"Ainda bem que vós três, novamente, queimareis juntos.","Anch., Teatro, 50"
"N'i sykabi, n'i papabi.","Não tem limite, não tem fim.","Ar., Cat., 165"
T'asabeypó!,Hei de embebedar-me!,"Anch., Teatro, 60"
Atykûar.,Junto água.,"VLB, I, 24"
xe gûyri bé,menor ainda que eu,"VLB, II, 35"
Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?...,"Será que estais sossegados, sem mais, nos vossos montes de maldades?","Ar., Cat., 166"
...Pesepîak irã... ybytinga 'arybo xe rura béne...,Vereis também futuramente minha vinda sobre as nuvens...,"Ar., Cat., 56v"
Sarûab-y bé o endyra... remimonhanga resé abá mendara.,Está impedido também o homem de casar com os que sua irmã gera.,"Ar., Cat., 128v-129"
Nde kunhã'ype?,Tu tens namorada?,"Anch., Doutr. Cristã, II, 93"
Anhenong gûitupa.,Estou-me recolhendo.,"VLB, I, 92"
Xe remo'em aîpó gûi'îabo...,Eu fui mentiroso dizendo isso.,"Ar., Cat., 73v"
Ixé nde sosé.,Eu sou maior que tu.,"VLB, II, 28"
Akó aoba i putukapyra sosé o 'anga tinga.,Mais que a roupa batida é a brancura de sua alma.,"Ar., Cat., 188, 1686"
Ereîkópe kunhã amõ resé i ka'asaba rupi nhẽ nde sugûaraîyramo?,"Tiveste relações sexuais com alguma mulher através das suas veredas na mata, como tua prostituta?","Anch., Doutr. Cristã, II, 91"
...Pe 'angyme oîkeba'epûera...,O que entrou em vossas almas.,"Ar., Cat., 89"
"Oroaûsu-potá-katu, oroîeme'enga endébo.","Queremos amar-te muito, entregando-nos a ti.","Anch., Poemas, 136"
Akué.,Movimento-me.,"VLB, I, 57"
Nde nhõ umẽ eîuká.,Não o mates tu sozinho.,"Anch., Arte, 22v"
Te'õ o îoesé i 'a-mo'angeme.,Quando supõe cair em si a morte.,"Ar., Cat., 88"
Ûiporabykŷabo gûixóbo...,Indo eu para trabalhar...,"Anch., Teatro, 46"
Ataramo é asé rekóû ikó yby pupé.,Como peregrinos é que a gente mora nesta terra.,"Ar., Cat., 26"
i îatyrá-tyraba'e,o que é felpudo,"VLB, I, 144"
Arobak.,Virei-o ao contrário.,"VLB, II, 146"
...Îandé momburu meémo...,Ter-nos-iam amaldiçoado.,"Anch., Teatro, 38"
Sebira aîpetek.,Esbofeteei suas nádegas.,"VLB, I, 21"
Arobîar... asé rubypy-karaibetá 'angûera a'epe turama osarõba'e renosemagûera bé.,"Creio que ele retirou também as almas dos nossos primeiros e santos pais (da mansão dos mortos), que aí esperavam sua vinda.","Ar., Cat., 16"
Opá kombó îabi'õ Tupã supé oîepé asé mba'e moîa'oka.,"De cada dez, repartir uma de nossas coisas com Deus.","Ar., Cat., 17"
"Nd'ei te'e, o py'a pupé oîemongetá-ngetábo, Tupã momburukatûabo...","Por isso mesmo é que, em seus corações ficando a refletir, desafiam muito a Deus.","Anch., Teatro, 30"
"Onheŷnhang umã sesé kunumĩetá kagûara, ...kunhãmuku i more'ymbara.",Já se juntaram por causa disso muitos moços bebedores de cauim e as moças que dão de beber às pessoas.,"Anch., Teatro, 24"
...Ingapema bé peru!,Trazei também o tacape!,"Anch., Teatro, 64"
ygá-pukuîtara,remador de canoa,"VLB, II, 101"
...Asé rerasó sapy'a potá.,Querendo logo levar-nos.,"Anch., Dial. da Fé, 231"
Aruretá kó reri...,Trouxe muitas destas ostras.,"Anch., Poemas, 150"
Kunhã iké sekóû biã mã!,Oxalá houvesse uma mulher aqui (mas não há)!,"Anch., Doutr. Cristã, II, 93"
u'uba anhãî,na ponta da flecha,"Anch., Arte, 41"
Eboûĩ abá 'anga rupîatyba a'e.,Eis que o adversário costumeiro da alma do homem é ele.,"Ar., Cat., 89"
Xe ropebypebyk.,Eu cochilo.,"VLB, II, 133"
I kunusãî abá supé onhe'enga...,"É discreta, falando aos homens.","Anch., Doutr. Cristã, I, 228"
...Îamombá taba îandune.,"Destruiremos a aldeia, como de costume.","Anch., Teatro, 24"
Memẽ anhanga popûari...,Sempre atam as mãos dos diabos.,"Anch., Teatro, 54"
"...Opá ereîopûã, oré sumarã reîtyka memẽ.","Passaste à frente de tudo, nosso inimigo vencendo para sempre.","Anch., Poemas, 126"
Aîapŷuban.,Forrei-o.,"VLB, I, 142"
Aîkumirik.,Esmigalhei-o.,"VLB, I, 125"
Aîmoapytereb.,Tonsurei-o.,"VLB, II, 58"
...Eîmoîar ybyraîoasaba resé...,Prega-o na cruz.,"Ar., Cat., 59v"
Xe ra'yra berame'ĩ arekó.,Trato-o como se fosse meu filho.,"VLB, II, 88"
-Setápe asé nhemongaraíbi? - Aani. - A gente batiza-se muitas vezes?,De maneira nenhuma.,"Anch., Doutr. Cristã, I, 202"
T'asepîáne nde robá...,Hei de ver tua face.,"Anch., Poemas, 98"
Peîmoîekuakatu aîpó Santíssima Trindade rekó.,Mostrai bem o que é essa Santíssima Trindade.,"Anch., Doutr. Cristã, I, 134"
kanhembora,"o fujão, o que tem costume de fugir","Anch., Arte, 31"
Oroîopynekûab.,Desencontramo-nos.,"VLB, I, 98"
Xe rekombegûé.,Eu sou molengão.,"VLB, II, 40"
T'isa'ang apŷaba marã îandé irũ.,Experimentemos a força dos homens conosco.,"Léry, Histoire, 357"
Ataramo é asé rekóû ikó yby pupé.,Como viajantes é que nós estamos nesta terra.,"Ar., Cat., 26"
...Ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga...,"Falando primeiro a seus filhos, que divide (isto é, os bons dos maus).","Ar., Cat., 162"
sapi'a'ỹî'okypyra,castrado,"VLB, I, 66"
Nd'e'i ymûanĩ ahẽ aoba moaûîébo.,Ele nunca acaba de completar as roupas.,"VLB, II, 52"
Asereb.,Chamusquei-o.,"VLB, I, 72"
"Karaíba nde moporabykŷápe, ereporabykype 'ara i momba'etepyra pupé...?","Por te fazer trabalhar um homem branco, trabalhaste num dia que deve ser guardado?","Ar., Cat., 110v"
Marã serã ture'ymi?,Por que será que ele não vem?,"VLB, II, 8"
Nd'e'ikatuîpe abaréramo oîkoe'ymba'e emonã tekó monhanga?,Não pode o que não é padre fazer as coisas assim?,"Ar., Cat., 93v"
Anhanga ratá îabépe satá rasyramo?,Como o fogo do diabo o fogo dele é penoso?,"Ar., Cat., 48v"
i mokõîa,a segunda vez dele,"VLB, II, 115"
Penhenotĩ iké bé mba'e-memûã raûsub'iré.,"Envergonhai-vos aqui também, após terdes amado as coisas más.","Ar., Cat., 169"
...Te'õ ereîporará.,Sofreste a morte.,"Anch., Teatro, 120"
morabuká-katu,bom trabalhador,"Anch., Arte, 52"
I abaeté-katupe irã i angaîpaba'e supé?...,Será muito terrível futuramente para os que são maus?,"Ar., Cat., 46v"
T'irekó ikó apŷaba îandé robaîara ri.,Que tenhamos estes homens contra nossos inimigos.,"Léry, Histoire, 357"
Akaîgûá! N'i tyb-angáî xe boîá...,Ai! Não há absolutamente servos meus.,"Anch., Teatro, 128"
...Xe repyramo omanõba'epûera ri xe akyre'ymamo...,Não me enternecendo eu pelo que morreu para me resgatar.,"Ar., Cat., 86"
"...Îesu Cristo raûsuba resé i îepirapûaneme, bŷá i îukáû.","Por ele fazer a defesa do amor a Jesus Cristo, mataram-no.","Ar., Cat., 4"
Marangatuba'e santos ybakype Tupã remieroîeoîa setá.,Os beatos e os santos que Deus faz ir consigo para o céu são muitos.,"Ar., Cat., 8"
korite'ĩ nhote,"um pouco (fal. de tempo), pouco tempo (VLB, I, 154), por pouco tempo","VLB, II, 83"
Oú bé senha'ẽpepó t'omoîy xe renondé.,Veio também sua panela para que os cozinhe adiante de mim.,"Anch., Teatro, 66"
Xe rarûab.,Frustrei-me.,"VLB, II, 10"
"...Pepu'am, t'îasó sapépe sobaîtĩamo...","Levantai-vos, vamos em seu caminho para encontrá-lo.","Ar., Cat., 53v"
i îara,seu senhor,"Anch., Arte, 12v"
Omanõ îepémo pitanga xe suí ixé so'o 'useî tenhẽ roîrémo re'ĩ...,Haveria de morrer certamente a criança de mim após eu querer comer caça.,"Ar., Cat., 77v"
"Ko'y, nde nhemonhangaba ogûeru torybeté.",Agora tua concepção trouxe grande alegria.,"Anch., Poemas, 146"
Xe abé taîasugûaîa...,Eu também sou um porco...,"Anch., Teatro, 44"
Ereîmoîebype kaûĩ sesé nde apore'ymamo?,"Vomitaste cauim, brigando por causa dele?","Ar., Cat., 111v"
"A'epe asé re'õmbûera, marã?","E os cadáveres da gente, que sucede a eles?","Ar., Cat., 27"
Îandé robaîareté te'õ.,Nossa verdadeira inimiga é a morte.,"Ar., Cat., 155"
"A'epe o agûasá resé segûyrõba'e, marã?","E o que tem excitação por sua amante, que acontece?","Ar., Cat., 72"
"Eîori sa'anga, rõ, t'otupã-nhe'engaby...","Vai para prová-los, pois, para que transgridam a palavra de Deus.","Anch., Teatro, 16"
apysakûarygugûá,cera de ouvidos,"VLB, I, 70"
Santa Cruz ra'angaba resé oré pysyrõ îepé...,Pelo sinal da Santa Cruz livra-nos tu...,"Anch., Doutr. Cristã, I, 139"
itangapema pora,coisa ganha com a espada,"Anch., Arte, 31v"
...Oîoirundyk îeapyká sykápe...,Ao transcorrerem quatro gerações.,"Ar., Cat., 129"
"Te'õ rerobyka, syaî-tekatu.","Aproximando-se da morte, suou bastante.","Anch., Poemas, 120"
"Mbegûé é ko'yté abá tekokuá kanhemi, ...iî u'u osororoka...","Lentamente, enfim, o homem perde entendimento, sua tosse irrompendo.","Ar., Cat., 156"
